0,1,2
Major,Early Career Pay,Mid-Career Pay
Petroleum Engineering,92300,182000
Electrical Engineering & Computer Science (EECS),101200,152300
Applied Economics and Management,60900,139600
Operations Research,78400,139600
Public Accounting,60000,138800
Chemical Engineering/Materials Science & Engineering,74500,137800
Quantitative Business Analysis,67900,136200
Pharmacy,66300,133200
Aeronautics & Astronautics,74000,133100
Systems Engineering,74000,132900
Electrical Power Engineering,73100,130700
Actuarial Mathematics,61900,130500
Aerospace Studies,50300,130300
Chemical Engineering,73500,128900
Actuarial Science,64700,128700
Information & Computer Science,70300,127600
Aeronautical Engineering,71600,125900
Operations & Information Systems Management,63800,125100
Political Economy,58200,125100
Marine Engineering,74700,125000
Computer Systems Engineering,74600,124800
Nuclear Engineering,73100,124500
Computer Science (CS) & Engineering,74000,124000
Corporate Accounting & Finance,61200,123600
Electrical & Computer Engineering (ECE),73900,123300
Computer Engineering (CE),74600,123200
Econometrics,60700,123000
Building Science,51100,122500
Mechatronics,70200,122300
Quantitative Economics,62000,121900
Foreign Affairs,52200,121800
Welding Engineering,76900,121800
Economics and Mathematics,65000,121400
Electrical Engineering (EE),71800,121400
Cognitive Science,64100,121100
Control Engineering,69900,121100
Geophysics,56900,120600
Pharmacology,55000,120600
Instrumentation & Control Engineering,69000,120500
Computational & Applied Mathematics,69700,120100
Marine Transportation Management,67800,120100
Aerospace Engineering,70700,119800
Ocean Engineering (OE),65100,119700
Astronomy,54300,119600
Mechanical & Aeronautical Engineering,66900,119600
Chemical & Biomolecular Engineering,74000,118700
Computer Science (CS) & Mathematics,66800,118500
Bioscience,48400,118300
Electrical & Electronics Engineering (EEE),71300,118100
Metallurgical Engineering,79100,117700
Aeronautical/Aerospace Engineering Technology,73400,117500
Materials Engineering,69100,117500
Accounting & Economics,61600,117400
Industrial & Systems Engineering,69900,117300
Optical Science & Engineering,67600,117100
Computer Science (CS),70700,116500
Biomedical Engineering (BME),67700,116300
Materials Science,62700,116200
Electronics & Communications Engineering,61500,116100
Mining Engineering,75200,116100
Engineering,66500,116000
Applied Mathematics,64400,115500
Integrated Science & Technology,62500,115500
Petroleum Land Management,60600,115400
Bioengineering (BioE),67400,115000
Software Engineering,71100,114700
Operations Management & Information Systems,61900,114500
Statistics,63700,114400
Business Analysis,59200,114300
Computer & Information Science,60100,114300
Physics,62300,113800
Physics & Mathematics,61500,113600
Physics & Astronomy,54000,112900
Construction Engineering Management,64800,112700
Physician Assistant Studies,92900,112200
Mechanical Engineering (ME),67600,111500
Industrial Engineering (IE),68300,111400
Entrepreneurship & Marketing,48500,111100
Engineering Science,64700,111100
International Business & Finance,57700,111100
Materials Science & Engineering,69200,111100
Ceramic Engineering,66300,110900
International Economics,54600,110900
Information & Decision Sciences,60600,110800
Finance & Marketing,53400,110700
Telecommunications Engineering,59800,110600
Business & Economics,56800,110500
Mathematics & Statistics,59800,110000
Paper Science,72400,109900
Electronics Engineering,67600,109700
Engineering Physics,66700,109700
Industrial Distribution,60700,109700
Economics,58200,109400
Energy Management,64000,109200
Structural Engineering (SE),64300,109200
Managerial Economics,61500,109100
Automotive Engineering,60500,108700
Business & Information Technology (IT),58200,108700
